name;price;sale;info;size;type;image
BLACK CHEMISE + STRING;€29,90;;Very seductive chemise.  - blue lace open cups with underwire, - metal ornament with shiny stones, - adjustable shoulder-straps, - matching strings  , Material: 90% polyester, 10% elasthan;S|M|L|XL;Blouses;http://s10.postimg.org/kgezkqgd5/BLACK_CHEMISE_STRING_29_90.jpg
BLACK LEVEL VINÜÜL TOP JA SEELIK;€62,90;€19,90;Black Level Vinüül Top ja Seelik. Tagant lukuga. Materjal: 100% polüester Suurus L ;L ;Blouses;http://s10.postimg.org/5vxwpwleh/BLACK_LEVEL_VIN_L_TOP_JA_SEELIK_62_90.jpg
BLACK MESH 3/4 SLEEVES CROPPED PARTY CLUB TOP;€12,90;;It’s fashionable to match this cropped mesh accent club top with black leather leggings. Black Mesh 3/4 Sleeves Cropped Party Club Top features a ravishing cut, it tightly hugs your body top by stretch fabrics, the mesh accent reveals your sexy curves and fair skin, how sexy and curvaceous you are in this top! Material : 100% Polyester Color black / transparent;M|L;Blouses;http://s10.postimg.org/6b96ix7bt/BLACK_MESH_3_4_SLEEVES_CROPPED_PARTY_CLUB_TOP_12.jpg
BLACK WRAP ILLUSION CROPPED CLUB TOP;€11,90;;Fabulous club must have! This club wear top is the embodiment of sexy with a dose of added style. The stylish design and high-quality stretchy material makes it suitable for any body type. Pair high-waisted bottoms is a match that quite popular with young women, and simply pair with stiletto heels to complete the look. Material : Polyester+Spandex Color Black;L ;Blouses;http://s10.postimg.org/qrk715hll/BLACK_WRAP_ILLUSION_CROPPED_CLUB_TOP_11_90.jpg
BLACK/BLUE CHEMISE + STRING;€29,90;;Very seductive chemise.  - blue lace open cups with underwire, - metal ornament with shiny stones, - adjustable shoulder-straps, - matching strings  , Material: 90% polyester, 10% elasthan;S|M|L|XL;Blouses;http://s10.postimg.org/c0pf38di1/BLACK_BLUE_CHEMISE_STRING_29_90.jpg
BLACK/RED CHEMISE + STRING;€29,90;;Very seductive chemise.  - blue lace open cups with underwire, - metal ornament with shiny stones, - adjustable shoulder-straps, - matching strings  , Material: 90% polyester, 10% elasthan;S|M|L|XL;Blouses;http://s10.postimg.org/yqt59ym3d/BLACK_RED_CHEMISE_STRING_29_90.jpg
BLONDE BOMBSHELL SET, XXL/XXXL;€29,90;;Blonde Bombshell set: - Chemise , - G-Strings. Color: black. Material: 90% polyester, 10% elasthan. ;XXL/XXXL;Blouses;http://s10.postimg.org/5060o713t/BLONDE_BOMBSHELL_SET_XXL_XXXL_29_90.jpg
BLUE PEPLUM TOP WITH BOW BELT;€15,90;;Blue Peplum Top with Bow Belt . Material : Polyester+Spandex. Sleeveless. Color: blue. O-neck. ;M|L;Blouses;http://s10.postimg.org/cwqhwfck9/BLUE_PEPLUM_TOP_WITH_BOW_BELT_15_90.jpg
CARTOON PRINCESS TATTOOS WOMEN TANK TOP - BLACK;€9,99;;Cartoon Princess Tattoos Women Tank Top . Color: Black. Material : Polyester + Spandex.;M-L;Blouses;http://s10.postimg.org/d87y96t09/CARTOON_PRINCESS_TATTOOS_WOMEN_TANK_TOP_BLACK.jpg
DATEX TOP WITH ZIPPER;€49,90;;Datex is brand new material made of natural caoutchouc and very extensible knitted fabric. Because of great extensibility and resistance, Datex is easy to put on. It will make you feel comfortable and ensures traditional latex quality at the same time. Color: black Material: Datex;L ;Blouses;http://s10.postimg.org/hsu4o4cpl/DATEX_TOP_WITH_ZIPPER_49_90.jpg
KIM SHORT SLEEVES FLORAL LACE TOP;€14,90;;This sexy top of dear-lover includes the covered opaque tube underneath and cap-sleeves sheer floral lace outwear top. Kim Short Sleeves Floral Lace Top offers you a curious mysterious view you want to explore. ;ONE;Blouses;http://s10.postimg.org/ooed7876h/KIM_SHORT_SLEEVES_FLORAL_LACE_TOP_14_90.jpg
LACE PEPLUM TOP RED;€16,90;;The peplum is everywhere this season, and this is one of the best we have seen. Allover lace adds instant glamour to a hot-now shape. This great new going-out top is a definite style stand-out. Round neckline. Allover lace. Long sleeves. Feminine peplum detail. Fabric: 100%Polyester.;ONE;Blouses;http://s10.postimg.org/z9y8j8di1/LACE_PEPLUM_TOP_RED_16_90.jpg
LACE PEPLUM TOP WHITE;€16,90;;The peplum is everywhere this season, and this is one of the best we have seen. Allover lace adds instant glamour to a hot-now shape. This great new going-out top is a definite style stand-out. Round neckline. Allover lace. Long sleeves. Feminine peplum detail. Fabric: 100%Polyester.;ONE;Blouses;http://s10.postimg.org/gwxn8o315/LACE_PEPLUM_TOP_WHITE_16_90.jpg
LONG SLEEVE SHIRT, BLUE;€17,90;;Wonderful long sleeve-shirt with a refined cut! Material : 92% Viscose, 8% Elasthan;S-L;Blouses;http://s10.postimg.org/rnpv8361l/LONG_SLEEVED_BLOUSE_14_90.jpg
LONG SLEEVE SHIRT, PINK;€17,90;;Wonderful long sleeve-shirt with a refined cut! Material : 92% Viscose, 8% Elasthan;S-L;Blouses;http://s10.postimg.org/9uzpmgzfd/LONG_SLEEVED_CROPPED_TOP_AND_MINI_SKIRT_SET_19_9.jpg
LONG SLEEVE SHIRT, RED;€17,90;;Wonderful long sleeve-shirt with a refined cut! Material : 92% Viscose, 8% Elasthan;S-L;Blouses;http://s10.postimg.org/3y0fje7o9/LONG_SLEEVE_SHIRT_BLUE_17_90.jpg
LONG SLEEVED CROPPED TOP AND MINI SKIRT SET;€19,90;;Long Sleeved Cropped Top and Mini Skirt Set . Material : 100% Polüester. Long sleeve. Revealing crops. O-neck. ;M|L;Blouses;http://s10.postimg.org/solijgxnd/LONG_SLEEVE_SHIRT_PINK_17_90.jpg
LONG-SLEEVED BLOUSE;€14,90;;Long-sleeved blouse. Material: 95% Polyester, 5% Spandex ;S/M;Blouses;http://s10.postimg.org/6tdiq9bo9/LONG_SLEEVE_SHIRT_RED_17_90.jpg
MERMAID TATTOO PRINT TANK TOP - BLACK;€9,99;;Cartoon Princess Tattoos Women Tank Top . Color: Black. Material : Polyester + Spandex.;M-L;Blouses;http://s10.postimg.org/jm1mq6na1/MERMAID_TATTOO_PRINT_TANK_TOP_BLACK_9_99.jpg
RABBIT FAIRY TANK TOP - BLACK;€9,99;;Cartoon Princess Tattoos Women Tank Top . Color: Black. Material : Polyester + Spandex.;M-L;Blouses;http://s10.postimg.org/h5ztcc57d/RABBIT_FAIRY_TANK_TOP_BLACK_9_99.jpg
RED BLACK STRIPES OFF-THE-SHOULDER CROPPED TOP;€9,90;;What could be a more perfect mate than a blouse? This flirty top! It is sure to shake things up. We love the sexy allure from the Off-the-shoulder neckline, long sleeves and cropped striped silhouette, ultra stretchy. Pair it with a bandage skirt and a pair of embellished sandals for quick going-out look. Features •Soft snug fabrics ensure you a perfect fit •You not only look hot but fashionable in this crop top •How plump, curvaceous and luscious in this top •One size offered and it goes well with any bottom Top fits very well with the skirt as seen. Suitable skirt can be found here ... ;ONE;Blouses;http://s10.postimg.org/bkde8a4ih/RED_BLACK_STRIPES_OFF_THE_SHOULDER_CROPPED_TOP_9.jpg
RED WRAP ILLUSION CROPPED CLUB TOP;€11,90;;Fabulous club must have! This club wear top is the embodiment of sexy with a dose of added style. The stylish design and high-quality stretchy material makes it suitable for any body type. Pair high-waisted bottoms is a match that quite popular with young women, and simply pair with stiletto heels to complete the look. Material : Polyester+Spandex Color Red;M|L;Blouses;http://s10.postimg.org/nkyu90bx5/RED_WRAP_ILLUSION_CROPPED_CLUB_TOP_11_90.jpg
ROSY PEPLUM TOP WITH BOW BELT;€15,90;;Rosy Peplum Top with Bow Belt . Material : Polyester+Spandex. Sleeveless. Color: blue. O-neck. ;M|L;Blouses;http://s10.postimg.org/yn3x7g5zt/ROSY_PEPLUM_TOP_WITH_BOW_BELT_15_90.jpg
