name;price;sale;info;size;type;image
4PC FETISH FANTASY BUSTIER SET;€39,90;;"4PC Fetish Fantasy Bustier Set includes bustier, dress, gloves and collar. This Masochist Bustier will keep you looking slim and sexy while you are giving orders. It has a hook and eye back closure and front working zippers for quicker access. Blade details on the zippers will make them beg for more. The back panels have some stretch to them for a universal and forgiving fit.

Material : 90%polyester+10%spandex";S|L;Corsets;http://s3.postimg.org/4s28gs0xv/4_PC_FETISH_FANTASY_BUSTIER_SET_39_90.jpg
ALESSIA CORSET;€35,90;;"Gorgeous Satin Brocade boned Corset with busk closure and boning laced on the back comes with matching G-String color light-blue with light-pink Deliverd in its original beauty-full glossy Box.
SET INCLUDES:

corset and string";S|M|L ;Corsets;http://s3.postimg.org/eqn739adf/ALESSIA_CORSET35_90.jpg
BELLA CORSET;€35,90;;"Every women must sometimes completely forget about everything, get away from the humdrum reality, just dream ... In this beautiful corset youll feel very sexy. Youll discover your hidden erotic potential! Enjoy your man and unleash the hot Spanish temperament! Elegant and provocative corset, made of light shining fabric with a floral pattern. Sexy decent proposal. Delivered in its original beauty full glossy Box INCLUDES:

corset and string
";M|L|XXL ;Corsets;http://s3.postimg.org/uwjjpwfk3/BELLA_CORSET_35_90.jpg
BLACK BONDAGE CORSET DRESS;€49,90;;"Black Bondage Corset Dress . - front hook & eye and back lace-up closure to make your figure perfect
- Elegant sexy lingerie as well as outfit 
- Perfect to build up an hourglass shape
- Panties included

Color: black";ONE;Corsets;http://s3.postimg.org/z885ewmgz/BLACK_BONDAGE_CORSET_DRESS49_90.jpg
BLACK BROCADE CORSET WITH BROWN LEATHER;€49,90;;"If your favorite corset style is steam punk, then Black Brocade Corset with Brown Leather is a must have to your wardrobe. A perfect body shaper to build up an envied figure, stunning black brocade fabric with crisp pattern lines in brown leather. Buckle and chain detailing and bronze metal clasp front. Features
•Front metal clasp closure
•Black brocade panels with leather straps accent and chain sides
•100% fine twill lining, extremely comfortable
•Sexy mild sweetheart bust line shows a deep cleavage
•Fashionable popular steam pun style
•Come with g-string

Material : Polyester+Spandex";S|M|L|XL|XXL;Corsets;http://s3.postimg.org/wyffqeo5f/BLACK_BROCADE_CORSET_WITH_BROWN_LEATHER_49_90.jpg
BLACK BUCKLE-UP STEAMPUNK CORSET;€29,90;;"Take control and dominate in this sexy corset, detailed with buckles down the front bodice, an adjustable halterneck and lace up slits on both sides, designed in faux leather steampunk-style. Only the corset top as shown, the bottom is not included. Material : Polyester + Spandex
";S ;Corsets;http://s3.postimg.org/lnhdfs6o3/BLACK_BUCKLE_UP_STEAMPUNK_CORSET_29_90.jpg
BLACK BURLESQUE CORSET & PETTICOAT;€49,90;;Burlesque strapless corset with side hook & eye closure, lace-up back and matching thong. Comes with matching petticoat. ;L|XL;Corsets;http://s3.postimg.org/ci90lx39f/BLACK_BURLESQUE_CORSET_PETTICOAT_49_90.jpg
BLACK CORSET;€69,95;€35,90;Corsage with hook-and-eye facing in the front and with lacing in the back. Removable suspenders, 6 forming bones. Not suitable for lacing an hourglass silhouette. ;XL|XXL;Corsets;http://s3.postimg.org/k3c1hdy9v/BLACK_CORSET_69_95.jpg
BLACK CORSET WITH FLORAL DESIGN;€24,90;;Corset with Floral Design includes corset and g-string.  Material: satin;S|M|L|XL|XXL ;Corsets;http://s3.postimg.org/nphuu14n7/BLACK_CORSET_WITH_FLORAL_DESIGN_24_90.jpg
BLACK DESIGNER CORSET WITH G-STRING;€23,90;;"This Black Designer Corset with G-string is designed in simple but stylish styling, features mild sweetheart neckline, stainless steel closure front while strong lace-up back, fine cotton twill lining, no trim.  Come with G-string panty.
Material : 45% Polyurethane + 55%polyester";S ;Corsets;http://s3.postimg.org/b9l50abb7/BLACK_DESIGNER_CORSET_WITH_G_STRING_23_90.jpg
