BLACK AND WHITE STRIPES LEGGING;€9,90;;High waist and slinky style with black and white stripes print, quite legs-shaping to your body and accents you more slender and taller than actually you are. Material: 95% polyester and 5% spandex ;ONE;Leggins;http://s30.postimg.org/ndordn3ld/BLACK_AND_WHITE_STRIPES_LEGGING_9_90.jpg
BLACK FASHION LEGGING;€14,90;€9,90;Todays world of fashion gives you so many different styles, fabrics and color choices for leggings. Basic black leggings are a staple for your leggings wardrobe but you have to consider all of your fashion choices. Leggings come in so many styles from bright colorful leggings to leggings that give you multiple pattern mixes, textures and styles. You can make your leggings the center point to your outfit by accessorizing with a simple long shirt such as a linen button-down, an oversize sweater, or long tunic for a wonderful casual, comfortable look. You can wear a busier colorful legging with a basic summer dress or skirt with your leggings. Do not limit your leggings wardrobe by the fear that one may be too busy or colorful for you. Different occasions allow for different fashion options so making leggings a diverse part of your wardrobe can spice up your entire wardrobe! ;ONE;Leggins;http://s30.postimg.org/4o1dan08h/BLACK_FASHION_LEGGING_14_90.jpg
BLACK HIGH WAIST LEGGINGS;€15,90;;Wetlook black high waist leggings with the sleek look of a coveted statement piece. Soft stretch fabric, High waist, Skinny leg. These sexy leggings create a sleek, modern silhouette in smooth, stretch polyester. They will keep you comfortable all day long. Material : 88%Polyester+12%Spandex;S-L;Leggins;http://s30.postimg.org/83ow6g835/BLACK_HIGH_WAIST_LEGGINGS_15_90.jpg
BLACK SEQUIN FRONT PU LEGGINGS;€16,90;;This is the sequins spliced PU Leggings and it gives you a sexy sporty look but it also slims and trims your body. It is a gorgeous black legging with a glittering front panel that is absolutely perfect for women who would like to be as dazzling as a noble princess and effortlessly shaping a slimming effect at the same time.  Material : Polyester+Spandex;ONE;Leggins;http://s30.postimg.org/3x8n4uxv5/BLACK_SEQUIN_FRONT_PU_LEGGINGS_16_90.jpg
BLACK SHORTS;€26,90;;Black shorts ;36|38|40;Leggins;http://s30.postimg.org/czsiy588h/BLACK_SHORTS_26_90.jpg
BLACK SKINNIES WITH GOLDPRINT;€49,90;€29,90;"Low-cut skinnies with goldprint. Material: 75% cotton, 23% polyester, 2% elastane.
";XS ;Leggins;http://s30.postimg.org/x8fwjv7jl/BLACK_SKINNIES_WITH_GOLDPRIN_49_90.jpg
BLACK YOGA LEGGINGS WITH ORANGE STRIPE;€10,90;;"Black Yoga Leggings with Orange Stripe . Material: 95% polüester, 5% spandex
Very elastic and comfortable slimming fit";M ;Leggins;http://s30.postimg.org/4f3skpng1/BLACK_YOGA_LEGGINGS_WITH_ORANGE_STRIPE_10_90.jpg
CHIC LEOPARD KNEES SEXY LEGGING;€14,90;;Chic Leopard Knees Sexy Legging is chic and designer, the leopard illusion on knees and black/white band at thighs add a bit finishing touch of sophistication. It’s skintight and intimate to sculpt the sexy curves and slender legs of your body. The pull-on style also offers a great support to slim the silhoutte. Pair with an overlarge vest and little jacket will be better. Material : 95%Polyester + 5%Spandex;ONE;Leggins;http://s30.postimg.org/rj49daqr5/CHIC_LEOPARD_KNEES_SEXY_LEGGING_14_90.jpg
DAMEN SHORTS BLACK;€29,90;;Damen shorts black . Material: 95% Baumwolle, 5% Elasthan;XS/34| S/36| M/38;Leggins;http://s30.postimg.org/9b7fcenld/DAMEN_SHORTS_BLACK_29_90.jpg
DARK BLUE LEGGINS;€9,95;;"Leggings that are styled to look like tight denim jeans.  Color: see the picture. 
Material: 85% polyester, 15% spandex 
One size XS – L";XS-L;Leggins;http://s30.postimg.org/cyn6igvsh/DARK_BLUE_LEGGINS_9_85.jpg
ENTICING KITTEN LEGGINGS;€49,90;;Color: black . Material: 85% polyester, 15% elasthan;ONE;Leggins;http://s30.postimg.org/s4t89eltd/ENTICING_KITTEN_LEGGINGS_49_90.jpg
FASHION GIRL JEPPINGS;€14,90;€9,90;Fashion Girl Jeppings. One size. ;ONE;Leggins;http://s30.postimg.org/vgrj2pdkh/FASHION_GIRL_JEPPINGS_14_90.jpg
GOLDEN SEQUIN FRONT PU LEGGINGS;€16,90;;This is the sequins spliced PU Leggings and it gives you a sexy sporty look but it also slims and trims your body. It is a gorgeous black legging with a glittering front panel that is absolutely perfect for women who would like to be as dazzling as a noble princess and effortlessly shaping a slimming effect at the same time.  Material : Polyester+Spandex;ONE;Leggins;http://s30.postimg.org/zeess40dt/GOLDEN_SEQUIN_FRONT_PU_LEGGINGS_16_90.jpg
