Name;Price;Sale;Info;Size;Type;Image
3PC SEXY CORSET SET;€49,90;;Burlesque strapless corset adorned with bow accents, hidden side hook and eye closure, lace-up back.  90% Polyester, 10% Spandex. Pink/Black.  Comes with matching thong, and matching skirt. ;S ;Lady Lingerie Sets;http://s1.postimg.org/46cfypodr/3_PC_SEXY_CORSET_SET_49_90.jpg
4-PIECE LEATHER DRESS & TIE;€29,90;;4-piece Leather Dress & Tie including: - collar, - tie, - leather dress, - handwear. It is very comfortable to touch and wear. Special and modern design makes you more attractive, charming, fashion and chic.;ONE;Lady Lingerie Sets;http://s1.postimg.org/w7qhcetnz/4_PIECE_LEATHER_DRESS_TIE_29_90.jpg
BASQUE SET S-L;€22,00;;Basque, string and matching stockings with stripes. Black. 100% polyamide.  ;ONE;Lady Lingerie Sets;http://s1.postimg.org/87y4i4627/BASQUE_SET_S_L_22_00.jpg
BELTED MINI SKIRT SETS;€24,90;€15,90;Cheetah belted mini skirt sets include top and skirt with belt. Material : Acrylic+ Spandex. one size. ;ONE;Lady Lingerie Sets;http://s1.postimg.org/lddmo7zxr/BELTED_MINI_SKIRT_SETS_24_90.jpg
BIKINI SET;€35,90;;Datex is brand new material made of natural caoutchouc and very extensible knitted fabric. Because of great extensibility and resistance, Datex is easy to put on. It will make you feel comfortable and ensures traditional latex quality at the same time. ;S|M ;Lady Lingerie Sets;http://s1.postimg.org/pijxwe8bz/BIKINI_SET_BLACK_25_90.jpg
BIKINI SET;€29,90;€25,90;Bikini set. ;S|M ;Lady Lingerie Sets;http://s1.postimg.org/k8jkiudgv/BIKINI_SET_LEOPARD_29_90.jpg
BIKINI SET;€24,90;;Set includes bra and low cut pants.   Material: swim fabric;S ;Lady Lingerie Sets;http://s1.postimg.org/9cs6nhsj3/BIKINI_SET_RED_29_90.jpg
BIKINI SET - BLACK;€25,90;€19,90;Bikini set. Material: Nylon + Spandex . Color: Black.;S|M|L ;Lady Lingerie Sets;http://s1.postimg.org/wfipmnu0f/BIKINI_SET_WHITE_25_90.jpg
BIKINI SET - LEOPARD;€29,90;€24,90;Bikini set. ;S ;Lady Lingerie Sets;http://s1.postimg.org/4j8fimw1b/BIKINI_SET_WHITE_28_90.jpg
BIKINI SET - RED;€29,90;€24,90;Set includes padded bra and low cut pants.   Material: swim fabric;S ;Lady Lingerie Sets;http://s1.postimg.org/h82q2b25r/BIKINI_SET_24_90.jpg
