"BABYDOLL ""CAUGHT IN THE ACT""";€39,90;;"Make yourself irresistible with this beautiful slightly transparent babydoll.  String included
Material: 100% Polyamide
Color: black";XL/XXXL;Queen Size;http://s23.postimg.org/3x10fzxaz/BABYDOLL_CAUGHT_IN_THE_ACT_39_90.jpg
"BABYDOLL ""DOUBLE""";€23,90;;"Double layer ruffle mesh babydoll with lycra binding shoulder straps.  Features bow and lace trim detail and matching G-String.
Material: acrylic + spandex
Color: pink
";XXL ;Queen Size;http://s23.postimg.org/kuvfo3haz/BABYDOLL_DOUBLE_23_90.jpg
"BABYDOLL ""DREAMY GIRL""";€45,90;;Make yourself irresistible with this beautiful slightly transparent babydoll.  String included Material: 90% Polyester 10% Elastane Color: red;L/XL| XXL/XXXL;Queen Size;http://s23.postimg.org/hlh0hmt7f/BABYDOLL_DREAMY_GIRL_45_90.jpg
"BABYDOLL ""FISHNET""";€23,90;;"Babydoll with fishnet over lycra push-up molded underwire cups, decorative studded trim,  center back hook & eye closure with keyhold opening and adjustable straps. 
Features matching fishnet over lycra G-String with studded trim.
Material: fishnet + lycra.
Color: as shown
";XXXL;Queen Size;http://s23.postimg.org/gx85youhn/BABYDOLL_FISHNET_23_90.jpg
"BABYDOLL ""GLOSSY""";€19,90;;"Very elegant and silky for its first-class fabric. Delicate black buttons in middle and wave bust trim, matching G-string sold included.
Material: Polyester / Nylon
Colour: White";XL/XXL;Queen Size;http://s23.postimg.org/v8w9hc21n/BABYDOLL_GLOSSY_19_90.jpg
"BABYDOLL ""PINK LEOPARD""";€39,90;;"Leopard print babydoll.   Material: 100% polyester. 
Color: as shown";XXL/XXXL;Queen Size;http://s23.postimg.org/bblqumtsr/BABYDOLL_PINK_LEOPARD_39_90.jpg
"BABYDOLL ""PRETTY""";€45,90;;"Make yourself irresistible with this beautiful slightly transparent babydoll.  String included
Material: 90% Polyester 10% Elastane
Color: black";L/XL| XXL/XXXL;Queen Size;http://s23.postimg.org/z6jj6qouz/BABYDOLL_PRETTY_45_90.jpg
"BABYDOLL ""SEXY KITTEN""";€24,90;;"Two-piece Mesh and Metallic Lace Babydoll with padded cups and rhinestone waistline detail.  Babydoll features adjustable straps with bows and asymmetrical skirt opening. 
Includes matching g-string.
Material: Polyester + Spandex
";XXL ;Queen Size;http://s23.postimg.org/q018jgjmj/BABYDOLL_SEXY_KITTEN_24_90.jpg
BLACK BABYDOLL WITH BOW TIE;€19,90;;Get the show started in this sheer stretch lace and mesh babydoll with front bow tie detail and included g string.  Material: lace;XXXL ;Queen Size;http://s23.postimg.org/a4ceg5t23/BLACK_BABYDOLL_WITH_BOW_TIE_19_90.jpg
BLACK BELTED MIDI DRESS;€34,90;;"Black belted midi dress, XXL . Material : 100% Polyester

Color: black

Size: XXL

Length: knee

Sleeveless
";XXL ;Queen Size;http://s23.postimg.org/x4j1shqvv/BLACK_BELTED_MIDI_DRESS_34_90.jpg
BLACK KIMONO-STYLE DRESS XXL;€34,90;;"Black Kimono-style dress XXL . Material : Polyester + Spandex

Color: Black";XXL ;Queen Size;http://s23.postimg.org/9g3jx7ucb/BLACK_KIMONO_STYLE_DRESS_XXL_34_90.jpg
BLACK LACE DRESS, XXL;€34,90;;"Black Lace Dress, XXL . Material : Polyester + Spandex

V-neck

Color: black";XXL ;Queen Size;http://s23.postimg.org/lxa7kdpi3/BLACK_LACE_DRESS_XXL_34_90.jpg
BLACK LACE JUMPSUIT, XXL;€49,90;;"Black lace jumpsuit, XXL . Material : Polyester + Spandex

Color: black
";XXL ;Queen Size;http://s23.postimg.org/nrrnfv1wb/BLACK_LACE_JUMPSUIT_XXL_49_90.jpg
BLACK MAXI DRESS, XXL;€39,90;;"Black maxi dress, XXL . Material : 100% Polyester. Color: black
";XXL ;Queen Size;http://s23.postimg.org/60bfnnx3v/BLACK_MAXI_DRESS_XXL_39_90.jpg
BLACK MINI-DRESS, XXL;€34,90;;"Black mini-dress, XXL . Material : 95% polyester + 5% Spandex

Color: black O-neck

Long sleeve
";XXL ;Queen Size;http://s23.postimg.org/6frauf8ez/BLACK_MINI_DRESS_XXL_34_90.jpg
BLACK SKATER DRESS, XXL;€34,90;;"Black Skater Dress, XXL . Material : Polyester + Spandex

Length: above knee

O-neck

Color: black
";XXL ;Queen Size;http://s23.postimg.org/hgmfzg0nv/BLACK_SKATER_DRESS_XXL_34_90.jpg
BLONDE BOMBSHELL SET, XXL/XXXL;€29,90;;"Blonde Bombshell set:  - Chemise
- G-Strings

Size: XXL/XXXL
Color: black
Material: 90% polyester, 10% elasthan";XXL/XXXL;Queen Size;http://s23.postimg.org/g2ut451ej/BLONDE_BOMBSHELL_SET_XXL_XXXL_29_90.jpg
"BRA ""FANCY&FLIRTY""";€29,90;;"Slightly padded, underwired ¼ cup bra.  Straps adjustable, hook closure in the back. 
Material: 100% polyamide
Color: black
";XL| XXL| XXXL;Queen Size;http://s23.postimg.org/hj6bma4bf/BRA_FANCY_FLIRTY_29_90.jpg
BURLESQUE CORSET SKIRT SET, BLACK, QUEEN SIZE;€36,90;;"Burlesque Corset Skirt Set. The design of the corset creates a perfect classic burlesque look.   It is beautifully designed fashion corset with an open back with adjustable criss cross lacing and 
will hug any body shape and look gorgeous for any occasion.
Materjal: Damask
Color: black";XL/XXL;Queen Size;http://s23.postimg.org/g5eoqz523/BURLESQUE_CORSET_SKIRT_SET_BLACK_QUEEN_SIZE_36.jpg
"CATSUIT ""MIDNIGHT PROWLER"" - QUEEN SIZE";€29,90;;Set includes: Scoop neck bodystocking with hood. features opaque hosiery and is crotchless.  Material: 90% Nylon / 10% Spandex;PLUS;Queen Size;http://s23.postimg.org/47d4d31az/CATSUIT_MIDNIGHT_PROWLEr_QUEEN_SIZE_29_90.jpg
CHEEKY GIRL 3-PIECE SET,RED XXXL;€39,90;;"Cheeky Girl 3-Piece Suspender Set:   - Quarter cup bra
- Suspender
- Thong
. Color: red
Material: 90% polyamide 10% elasthan";XXXL ;Queen Size;http://s23.postimg.org/pegv13dy3/CHEEKY_GIRL_3_PIECE_SET_RED_XXXL_39_90.jpg
"CHEMISE ""LADY LEOPARD """;€49,90;;Cami suspender top with underwired cups and bra fastening to the back. Including matching G string. ;XL/XXL;Queen Size;http://s23.postimg.org/8vxpm0fvf/CHEMISE_LADY_LEOPARD_49_90.jpg
CHIFFON TOP WHITE DRESS, XXL;€34,90;;"Chiffon top white dress, XXL . Material : polyester + spandex

Color: As Shown

Size: XXL

O-neck and no sleeve.
";XXL ;Queen Size;http://s23.postimg.org/5ax8p1ly3/CHIFFON_TOP_WHITE_DRESS_XXL_34_90.jpg
"CORSET ""FIT ZIPPER""";€12,90;;"Black Corset with slimming effect.  Corset is plastic boned and do not have modesty panels.
Material: 100% polyester. 
Color: see the picture";L ;Queen Size;http://s23.postimg.org/6fvw85xsr/CORSET_FIT_ZIPPER_12_90.jpg
"CORSET ""NEW GRAY"" QUEEN SIZE";€24,90;;"Beautiful gray corset.  Comes with g-string.
Material: acrylic and spandex.";XXL/XXXL;Queen Size;http://s23.postimg.org/y5sh93mmz/CORSET_NEW_GRAY_QUEEN_SIZE_24_90.jpg
