name;price;sale price;image;Category
"""SLEEPING BAG"", BLACK";169.jpg;;http://s21.postimg.org/dzvvcint3/SLEEPING_BAG_BLACK_169.jpg;BDSM Premium
ANAL PLUG VAGINAL PLUG CHASTITY BELT;229.jpg;;http://s21.postimg.org/hfnzm2l1j/ANAL_PLUG_VAGINAL_PLUG_CHASTITY_BELT_229.jpg;BDSM Premium
ANKLE SPREADER;179.jpg;;http://s21.postimg.org/pmfzdnb47/ANKLE_SPREADER_179.jpg;BDSM Premium
ASSISTANCE BELT, BLACK;89.90.png;;http://s21.postimg.org/4bn0n4idj/ASSISTANCE_BELT_BLACK_89_90.png;BDSM Premium
BAD KITTY SWING;179.jpg;;http://s21.postimg.org/tzeiw2juv/BAD_KITTY_SWING_179.jpg;BDSM Premium
BLACK STRAIT-JACKET WITH SLEEVES;169.jpg;;http://s21.postimg.org/9cptar0g7/BLACK_STRAIT_JACKET_WITH_SLEEVES_169.jpg;BDSM Premium
BODY POSITIONING RESTRAINTS;89.90.jpg;;http://s21.postimg.org/4hw4ch24n/BODY_POSITIONING_RESTRAINTS_89_90.jpg;BDSM Premium
CASABLANCA LOVE CRADLE;229.jpg;;http://s21.postimg.org/jt5xd2zgn/CASABLANCA_LOVE_CRADLE_229.jpg;BDSM Premium
CB-6000;119.jpg;;http://s21.postimg.org/awv5958uf/CB_6000_119.jpg;BDSM Premium
CB-6000 CARTON; 89.90.jpg;;http://s21.postimg.org/ekfhsy6fb/CB_6000_CARTON_89_90.jpg;BDSM Premium
CB-6000, BLACK;89.90.jpg;;http://s21.postimg.org/y0vm1qc5j/CB_6000_BLACK_89_90.jpg;BDSM Premium
CB-6000S;89.90.jpg;;http://s21.postimg.org/a1397fojr/CB_6000_S_89_90.jpg;BDSM Premium
DELUXE FANTASY DOOR SWING;79.90.jpg;;http://s21.postimg.org/uz9f5ioef/DELUXE_FANTASY_DOOR_SWING_79_90.jpg;BDSM Premium
DELUXE SHOCK THERAPY TRAVEL KIT;169.90.jpg;;http://s21.postimg.org/7z2rt6qkn/DELUXE_SHOCK_THERAPY_TRAVEL_KIT_169_90.jpg;BDSM Premium
FANTASY DOOR SWING;79.90.jpg;;http://s21.postimg.org/mktshfnd3/FANTASY_DOOR_SWING_79_90.jpg;BDSM Premium
FEMALE ADJUSTABLE MODEL-T STAINLESS STEEL PREMIUM CHASTITY BELT;199.jpg;;http://s21.postimg.org/p0vlva5fr/FEMALE_ADJUSTABLE_MODEL_T_STAINLESS_STEEL_PREMIU.jpg;BDSM Premium
FF ELITE VIBRATING DOUBLE DELIGHT PURPLE;134.jpg;;http://s21.postimg.org/3trv79ssn/FF_ELITE_VIBRATING_DOUBLE_DELIGHT_PURPLE_134.jpg;BDSM Premium
FF EXTREME - SHOCK THERAPY COCK STRAP;99.jpg;;http://s21.postimg.org/ryskozd3b/FF_EXTREME_SHOCK_THERAPY_COCK_STRAP_99.jpg;BDSM Premium
FF FANTASY SWING - BLACK;199.jpg;;http://s21.postimg.org/flfqi2nev/FF_FANTASY_SWING_BLACK_199.jpg;BDSM Premium
FULL BODY;159.jpg;;http://s21.postimg.org/amxa0npxj/FULL_BODY_159.jpg;BDSM Premium
HAND CHAINS, BLACK; 129.90.png;;http://s21.postimg.org/hmbc00pvr/HAND_CHAINS_BLACK_129_90.png;BDSM Premium
HARDCORE HARNESS FOR MEN;99.90.jpg;;http://s21.postimg.org/u61va0op3/HARDCORE_HARNESS_FOR_MEN_99_90.jpg;BDSM Premium
HEADGEAR, BLACK;139.90.jpg;;http://s21.postimg.org/z799bdw5j/HEADGEAR_BLACK_139_90.jpg;BDSM Premium
HEAVY DUTY STAINLESS STEEL NECK-WRIST SPREADER DETACHABLE;249.jpg;;http://s21.postimg.org/4bs2k8op3/HEAVY_DUTY_STAINLESS_STEEL_NECK_WRIST_SPREADER_D.jpg;BDSM Premium
KINKLAB NEONWAND VIOLET WAND PURPL;159.jpg;;http://s21.postimg.org/jzt9r14av/KINKLAB_NEONWAND_VIOLET_WAND_PURPL_159.jpg;BDSM Premium
LEATHER LEG/WRIST CUFF;129.90.jpg;;http://s21.postimg.org/i9a8pjmrr/LEATHER_LEG_WRIST_CUFF_129_90.jpg;BDSM Premium
LEG TRUSS, LEATHER;89.90.jpg;;http://s21.postimg.org/pqjg4rcav/LEG_TRUSS_LEATHER_89_90.jpg;BDSM Premium
LOUISIANA LOUNGER;199.jpg;;http://s21.postimg.org/r84wgbh1j/LOUISIANA_LOUNGER_199.jpg;BDSM Premium
METAL POSTURE BAR;99.jpg;;http://s21.postimg.org/fx28rya6f/METAL_POSTURE_BAR_99.jpg;BDSM Premium
METALLIST PEENISELUKK;129.jpg;;http://s21.postimg.org/fygrz41dz/METALLIST_PEENISELUKK_129.jpg;BDSM Premium
NECK-WRIST RESTRAINT;239.jpg;;http://s21.postimg.org/pkacfesjr/NECK_WRIST_RESTRAINT_239.jpg;BDSM Premium
