Name;Price;Sale Price;;;;;;
AMORINO, PINK;67.90;46.90;;;;;;
B BALLS, BLACK;29.90;;;;;;;
BENDYBEADS, BLACK;21.90;;;;;;;
BENDYBEADS, VIOLET;21.90;;;;;;;
BOOSTY, BLACK;24.90;;;;;;;
BOOTIE, BLACK;19.90;;;;;;;
BOOTIE, VIOLET;19.90;;;;;;;
CLICK 'N' CHARGE DELIGHT, BABY ROSE/ROSE;89.90;;;;;;;
COBRA LIBRE II + RAIN PENISRING;122;109;;;;;;
DELIGHT, BLACKBERRY & BLACK;89.90;;;;;;;
DUKE, BLACK;59.90;;;;;;;
FLASH, RED;39.90;;;;;;;
FLEXI FELIX, BLACK;21.90;;;;;;;
FLEXI FELIX, PINK;21.90;;;;;;;
FLORA, INDIA RED;54.90;;;;;;;
FUN FACTORY CAVALIER;29.90;;;;;;;
FUN FACTORY CLICK N CHARGE;4.90;;;;;;;
FUN FACTORY COBRA LIBRE II;109;;;;;;;
FUN FACTORY ELLOVE;57.0;;;;;;;
FUN FACTORY JAM SMARTVIBE;19.90;;;;;;;
FUN FACTORY LOVERING 8IGHT;21.90;;;;;;;
FUN FACTORY NEW WAVE DILDO;79.90;;;;;;;
FUN FACTORY SHAREVIBE;99.90;;;;;;;
FUN FACTORY TIGER STUB DILDO;49.90;;;;;;;
FUN FACTORY TOYFLUID 100ML;12.50;;;;;;;
FUNFACTORY PASSIONATE SHADOWS BOX;89.90;;;;;;;
G4 CLICK 'N' CHARGE BIG BOSS, BLACK;75;;;;;;;
G4 CLICK 'N' CHARGE BIG BOSS, ORANGE;74.90;;;;;;;
G4 CLICK 'N' CHARGE ELEGANCE, BLACKBERRY;74.90;;;;;;;
G4 CLICK 'N' CHARGE PAUL & PAULINA, CANDY ROSE;79.90;;;;;;;
GALAN, BLUE;41.00;;;;;;;
GIGOLINO - NEON ORANGE;39.90;;;;;;;
LAYASPOT - PINK;45.90;;;;;;;
LAYASPOT, BLACK/SILVER;44.90;;;;;;;
LITTLE PAUL - MINIVIBE - CANDY ROSE,;35-25;;;;;;;
MEANY, NEON YELLOW;37.90;;;;;;;
MEANY, PURPLE;37.90;;;;;;;
MINIVIBE BABY BUG, FRESH GREEN;29.90;;;;;;;
MINIVIBE BABY BUG, WATERMELON;24.95;;;;;;;
MINIVIBE CLICK 'N' CHARGE BUBBLES, CANDY ROSE;44.90;;;;;;;
MINIVIBE CLICK 'N' CHARGE LITTLE PAUL, FRESH GREEN;35;29.90;;;;;;
MINIVIBE LITTLE PAUL, RED, SAVE;32;25;;;;;;
MINIVIBE SPRING, RED;39.90;;;;;;;
PATCHY PAUL G3, GREEN;64.90;;;;;;;
PATCHY PAUL G3, PINK;64.90;;;;;;;
PATCHY PAUL« – G4 - RED;74.90;;;;;;;
PATCHY PAUL« – G4 + FREE 50ML LUBRICANT;74.90;;;;;;;
PEARLY, CANDY GREEN;59.90;;;;;;;
PEARLY, GRAPE;59.90;;;;;;;
PULSATOR STRONIC ZWEI;159;145;;;;;;
RAIN, BLACK;12.90;;;;;;;
SEMILINO, BLACK;59.90;;;;;;;
SEMIREALISTIC G3 VIBRATOR - PURPLE;54.90;;;;;;;
SHARE XL;84.90;;;;;;;
SMARTBALLS DUO -PINK & WHITE;24.90;;;;;;;
SMARTBALLS DUO -RED & BLACK;24.90;;;;;;;
SMARTBALLS DUO -RED & WHITE;24.90;;;;;;;
SMARTBALLS TENEO UNO, GREEN;15.90;;;;;;;
SMARTBALLS UNO - PURPLE & WHITE;19.90;;;;;;;
SMARTBALLS UNO - RED & BLACK;19.90;;;;;;;
SMARTBALLS UNO - RED & WHITE;19.90;;;;;;;
STRONIC DREI;139;119;;;;;;
STRONIC EINS, DARK VIOLET;139;119;;;;;;
STRONIC EINS, RED;135;119;;;;;;
STUBS SHARE, BABY ROSE;75;55;;;;;;
STUBS SHARE, BLACK;75;55;;;;;;
STUBS SHARE, VIOLET;75;55;;;;;;
TANGO, INDIA RED;57.90;;;;;;;
THE BOSS G3, VIOLET;60;;;;;;;
THE BOSS, BLACK;60;;;;;;;
THE BOSS, VIOLET;60;;;;;;;
TIGER, INDIA RED;85;;;;;;;
